customer_id,gender,age,city,signup_date,loyalty_member
C0133,Female,39,London,21/04/2023,No
C0134,Male,49,Leeds,29/11/2022,No
C0135,Female,35,Liverpool,22/09/2022,Yes
C0136,Male,23,Leeds,14/06/2023,No
C0137,Male,62,Nottingham,16/05/2023,No
C0138,Male,23,Liverpool,04/04/2023,Yes
C0139,Male,37,Bristol,19/02/2023,No
C0140,Female,45,Bristol,21/07/2023,No
C0141,Female,37,Liverpool,10/04/2023,Yes
C0142,Male,38,Manchester,04/05/2022,Yes
C0143,Male,65,Nottingham,16/07/2022,No
C0144,Female,24,Leeds,27/08/2023,No
C0145,Female,29,Liverpool,21/08/2022,Yes
C0146,Male,35,London,01/07/2023,Yes
C0147,Female,62,Birmingham,21/07/2023,No
C0148,Male,54,Liverpool,16/04/2022,No
C0149,Female,39,Birmingham,06/05/2023,Yes
C0150,Female,25,Manchester,16/09/2022,No
C0151,Male,54,London,19/05/2023,Yes
C0152,Female,23,Leeds,02/06/2022,Yes
C0153,Female,56,Leeds,26/07/2023,No
C0154,Female,37,Sheffield,07/04/2023,No
C0155,Male,57,Manchester,06/08/2023,Yes
C0156,Male,34,Manchester,03/10/2023,Yes
C0157,Male,53,Manchester,03/09/2022,Yes
C0158,Female,46,Nottingham,03/01/2022,No
C0159,Male,36,Liverpool,03/02/2022,No
C0160,Male,34,Leeds,14/03/2022,No
C0161,Male,59,Birmingham,28/04/2022,No
C0162,Male,21,Birmingham,26/05/2022,No
C0163,Female,46,Manchester,02/09/2023,No
C0164,Female,35,Nottingham,08/11/2022,No
C0165,Male,45,Bristol,24/03/2022,No
C0166,Male,32,London,27/01/2022,No
C0167,Male,29,Nottingham,14/08/2023,No
C0168,Male,55,Sheffield,12/10/2022,No
C0169,Female,40,Sheffield,04/04/2022,No
C0170,Male,28,Bristol,25/11/2022,No
C0171,Female,60,Sheffield,23/05/2023,Yes
C0172,Male,38,Liverpool,11/04/2023,No
C0173,Female,50,London,29/04/2022,No
C0174,Male,30,Bristol,28/02/2023,No
C0175,Female,21,Leeds,03/10/2023,No
C0176,Male,36,Nottingham,17/07/2023,No
C0177,Male,58,Leeds,05/05/2022,Yes
C0178,Male,53,Sheffield,15/11/2022,Yes
C0179,Male,47,Manchester,19/08/2022,Yes
C0180,Female,50,Liverpool,26/05/2023,No
C0181,Female,33,Nottingham,10/05/2023,Yes
C0182,Male,56,Birmingham,28/01/2023,Yes
C0183,Female,39,Liverpool,10/10/2022,Yes
C0184,Female,55,Nottingham,17/10/2022,Yes
C0185,Female,40,Bristol,03/04/2023,No
C0186,Female,30,Leeds,12/04/2023,No
C0187,Female,20,Bristol,28/08/2022,No
C0188,Female,60,Birmingham,26/01/2023,No
C0189,Male,50,Bristol,07/02/2022,Yes
C0190,Male,51,Nottingham,27/03/2023,Yes
C0191,Female,59,Birmingham,28/05/2022,Yes
C0192,Female,39,Sheffield,26/04/2023,Yes
C0193,Female,38,Nottingham,03/12/2022,Yes
C0194,Male,33,Liverpool,25/09/2023,Yes
C0195,Female,24,Manchester,03/04/2022,No
C0196,Female,19,London,20/06/2022,No
C0197,Female,40,Bristol,27/02/2022,No
C0198,Male,51,Sheffield,30/05/2022,Yes
C0199,Male,23,Sheffield,24/06/2022,Yes
C0200,Male,32,Nottingham,25/05/2023,No
C0201,Female,60,London,16/04/2023,No
C0202,Male,22,Nottingham,22/10/2022,No
C0203,Female,58,Sheffield,25/08/2023,No
C0204,Female,30,Sheffield,13/04/2023,No
C0205,Male,42,Bristol,20/04/2022,No
C0206,Male,60,Sheffield,30/10/2022,No
C0207,Male,56,Nottingham,09/01/2022,No
C0208,Female,32,Leeds,24/08/2022,No
C0209,Male,58,Manchester,26/11/2023,Yes
C0210,Female,20,Bristol,13/11/2022,Yes
C0211,Female,38,Sheffield,03/04/2022,Yes
C0212,Male,52,Bristol,25/07/2022,No
C0213,Female,48,Liverpool,18/06/2022,No
C0214,Female,22,Birmingham,28/04/2022,Yes
C0215,Female,53,Bristol,24/11/2023,Yes
C0216,Male,34,Manchester,09/02/2023,No
C0217,Female,55,Sheffield,13/01/2023,No
C0218,Male,48,London,21/04/2022,No
C0219,Male,59,Manchester,17/09/2023,No
C0220,Female,25,Birmingham,06/11/2022,Yes
C0221,Female,49,Manchester,08/02/2022,Yes
C0222,Male,42,Nottingham,29/08/2022,No
C0223,Female,55,Birmingham,18/11/2023,No
C0224,Male,49,Sheffield,02/11/2023,No
C0225,Female,31,Nottingham,03/02/2022,No
C0226,Female,24,Bristol,30/08/2022,No
C0227,Female,35,Leeds,04/03/2022,Yes
C0228,Male,60,Leeds,11/04/2023,Yes
C0229,Female,33,Birmingham,21/02/2022,Yes
C0230,Male,55,Leeds,12/03/2022,Yes
C0231,Male,56,London,03/12/2022,No
C0232,Male,52,Liverpool,29/05/2022,Yes
C0233,Male,26,London,23/04/2022,No
C0234,Female,19,Birmingham,01/09/2022,No
C0235,Male,65,Sheffield,23/02/2022,Yes
C0236,Female,46,Bristol,07/03/2022,Yes
C0237,Male,57,London,08/04/2023,No
C0238,Male,21,Nottingham,15/04/2023,No
C0239,Male,49,Nottingham,13/03/2023,Yes
C0240,Female,56,Birmingham,24/03/2022,Yes
C0241,Female,57,Bristol,10/05/2022,No
C0242,Female,47,Sheffield,04/09/2023,Yes
C0243,Male,45,Nottingham,28/04/2022,Yes
C0244,Female,47,Sheffield,28/02/2023,No
C0245,Female,45,Bristol,08/04/2022,No
C0246,Male,61,Nottingham,19/01/2023,Yes
C0247,Male,23,Sheffield,04/04/2022,Yes
C0248,Male,53,London,17/01/2023,No
C0249,Male,44,Bristol,18/11/2023,No
C0250,Female,56,Liverpool,22/02/2022,No
C0251,Male,27,Nottingham,17/04/2022,Yes
C0252,Female,53,Bristol,21/04/2022,Yes
C0253,Male,45,London,13/10/2022,No
C0254,Male,35,Liverpool,30/01/2022,No
C0255,Male,29,Birmingham,26/12/2022,No
C0256,Male,65,London,13/03/2022,Yes
C0257,Male,42,Sheffield,28/06/2023,No
C0258,Male,41,Liverpool,16/12/2022,No
C0259,Male,21,Birmingham,05/08/2023,Yes
C0260,Male,61,Manchester,25/09/2023,No
C0261,Female,49,Nottingham,30/03/2023,No
C0262,Male,50,Manchester,07/10/2022,No
C0263,Male,36,Nottingham,17/03/2023,No
C0264,Male,43,London,16/02/2022,Yes
C0265,Female,31,Birmingham,29/07/2022,No
C0266,Female,25,London,24/10/2022,No
C0267,Male,26,Sheffield,17/03/2023,Yes
C0268,Female,22,Sheffield,28/05/2023,Yes
C0269,Male,47,Manchester,23/03/2023,No
C0270,Female,54,Sheffield,13/08/2023,No
C0271,Male,43,London,24/10/2022,No
C0272,Female,62,Bristol,25/06/2022,Yes
C0273,Male,33,Sheffield,24/03/2023,No
C0274,Male,43,Liverpool,21/06/2023,No
C0275,Female,28,Manchester,15/08/2022,Yes
C0276,Male,40,Bristol,28/06/2023,Yes
C0277,Male,27,Liverpool,30/08/2022,Yes
C0278,Male,59,Manchester,27/06/2022,Yes
C0279,Female,47,Nottingham,06/10/2023,No
C0280,Female,27,Nottingham,05/10/2023,Yes
C0281,Female,58,Liverpool,26/04/2023,No
C0282,Male,40,Manchester,29/08/2023,No
C0283,Female,20,London,18/04/2023,No
C0284,Male,59,Manchester,21/10/2022,No
C0285,Male,46,Leeds,19/04/2023,No
C0286,Female,50,Birmingham,12/09/2023,Yes
C0287,Male,39,Manchester,07/04/2023,Yes
C0288,Male,63,Nottingham,10/02/2022,No
C0289,Male,41,Bristol,21/06/2023,No
C0290,Female,39,London,01/02/2023,No
C0291,Female,24,Sheffield,09/03/2022,No
C0292,Male,39,Manchester,16/09/2022,Yes
C0293,Female,59,Sheffield,25/12/2022,Yes
C0294,Male,37,Sheffield,02/09/2023,No
C0295,Male,59,Sheffield,11/05/2022,No
C0296,Female,37,Birmingham,19/01/2022,Yes
C0297,Female,30,Leeds,16/12/2022,Yes
C0298,Male,36,Manchester,08/06/2022,Yes
C0299,Female,57,Birmingham,09/11/2023,No
C0300,Male,29,Birmingham,07/06/2022,No
C0301,Female,41,Leeds,14/02/2022,No
C0302,Female,65,Nottingham,18/09/2023,Yes
C0303,Male,37,Nottingham,01/07/2023,Yes
C0304,Female,47,Liverpool,12/01/2023,No
C0305,Female,28,Leeds,30/05/2023,Yes
C0306,Male,59,Nottingham,14/09/2022,No
C0307,Male,63,Manchester,22/07/2023,No
C0308,Male,35,Nottingham,27/03/2022,Yes
C0309,Male,32,Nottingham,24/03/2023,No
C0310,Female,21,Sheffield,28/01/2022,No
C0311,Female,23,Bristol,30/08/2022,Yes
C0312,Female,24,Bristol,29/01/2022,Yes
C0313,Male,36,Nottingham,21/05/2022,Yes
C0314,Female,57,London,26/04/2023,Yes
C0315,Female,31,Birmingham,20/01/2022,No
C0316,Female,33,Liverpool,24/04/2022,Yes
C0317,Male,44,Nottingham,18/02/2022,Yes
C0318,Female,56,London,24/04/2022,Yes
C0319,Female,45,London,28/05/2022,No
C0320,Female,29,Manchester,04/09/2022,No
C0321,Male,42,Nottingham,11/03/2022,Yes
C0322,Female,41,Liverpool,13/10/2023,Yes
C0323,Male,40,Leeds,01/01/2023,Yes
C0324,Female,26,London,19/08/2023,No
C0325,Female,59,Birmingham,14/07/2023,No
C0326,Male,26,Manchester,06/05/2023,No
C0327,Female,30,London,07/02/2022,Yes
C0328,Female,37,Sheffield,12/02/2022,No
C0329,Male,59,Leeds,17/09/2022,No
C0330,Male,59,Bristol,01/01/2023,No
C0331,Female,45,Sheffield,08/05/2022,No
C0332,Female,29,Nottingham,31/01/2023,No
C0333,Female,23,Sheffield,12/01/2023,Yes
C0334,Male,52,Liverpool,17/03/2023,No
C0335,Male,38,Liverpool,16/04/2022,No
C0336,Female,28,Nottingham,02/04/2023,No
C0337,Male,64,Bristol,03/04/2023,No
C0338,Male,22,Sheffield,09/10/2022,No
C0339,Male,19,Birmingham,10/06/2023,No
C0340,Male,22,Leeds,05/02/2022,No
C0341,Female,54,London,06/01/2023,Yes
C0342,Female,41,Bristol,27/11/2023,No
C0343,Male,51,Bristol,20/03/2022,No
C0344,Female,33,Manchester,18/11/2022,Yes
C0345,Female,51,Sheffield,10/07/2022,Yes
C0346,Female,63,Nottingham,26/09/2022,Yes
C0347,Female,62,Nottingham,19/09/2023,Yes
C0348,Male,22,Nottingham,06/05/2022,Yes
C0349,Male,61,Bristol,01/04/2023,No
C0350,Female,37,Birmingham,08/03/2022,Yes
C0351,Male,25,Leeds,06/01/2023,Yes
C0352,Female,19,Bristol,31/08/2022,No
C0353,Male,57,Manchester,24/04/2023,Yes
C0354,Female,63,Nottingham,13/11/2022,No
C0355,Male,26,Bristol,24/02/2023,Yes
C0356,Female,61,Bristol,06/04/2023,Yes
C0357,Male,26,Sheffield,19/07/2023,Yes
C0358,Male,37,Birmingham,08/05/2022,Yes
C0359,Male,40,Liverpool,27/11/2022,Yes
C0360,Male,58,Liverpool,14/09/2022,Yes
C0361,Female,57,Manchester,03/10/2023,Yes
C0362,Male,28,Bristol,30/08/2023,Yes
C0363,Male,20,Liverpool,30/01/2022,Yes
C0364,Female,57,London,09/08/2023,No
C0365,Female,59,Liverpool,05/10/2023,No
C0366,Female,37,Nottingham,08/09/2022,Yes
C0367,Male,46,Sheffield,03/03/2022,No
C0368,Male,39,Birmingham,21/04/2023,No
C0369,Female,43,Birmingham,23/11/2022,No
C0370,Male,38,Leeds,12/06/2023,No
C0371,Female,46,Leeds,06/05/2022,Yes
C0372,Male,36,Sheffield,10/04/2022,No
C0373,Male,38,Bristol,12/09/2022,Yes
C0374,Female,50,Nottingham,13/06/2022,No
C0375,Female,19,Manchester,12/11/2022,No
C0376,Female,33,Leeds,02/06/2023,No
C0377,Male,36,Nottingham,19/02/2022,No
C0378,Male,24,Sheffield,20/10/2022,Yes
C0379,Female,43,Bristol,28/09/2022,Yes
C0380,Male,54,Leeds,15/02/2023,No
C0381,Female,22,Sheffield,21/07/2023,No
C0382,Female,57,Manchester,18/07/2023,Yes
C0383,Female,41,Bristol,10/04/2022,No
C0384,Male,56,Sheffield,28/05/2022,Yes
C0385,Male,26,Bristol,16/02/2022,No
C0386,Female,27,Birmingham,16/06/2023,No
C0387,Female,28,Sheffield,20/09/2023,No
C0388,Female,50,Nottingham,31/08/2023,No
C0389,Male,41,Bristol,02/05/2023,Yes
C0390,Female,64,London,03/03/2023,No
C0391,Male,64,London,29/09/2022,No
C0392,Female,27,Leeds,24/06/2022,Yes
C0393,Male,30,London,10/08/2023,No
C0394,Female,27,Sheffield,18/11/2022,Yes
C0395,Female,65,London,25/02/2023,Yes
C0396,Male,53,Bristol,16/06/2023,No
C0397,Female,38,Birmingham,23/06/2023,No
C0398,Female,52,Bristol,30/06/2023,No
C0399,Female,30,Leeds,17/09/2023,No
C0400,Female,32,Liverpool,26/07/2023,No
C0401,Female,38,Nottingham,01/08/2022,No
C0402,Female,36,Manchester,28/07/2023,No
C0403,Female,27,Liverpool,09/02/2023,Yes
C0404,Male,40,Nottingham,22/10/2022,No
C0405,Male,30,Liverpool,06/05/2023,No
C0406,Male,57,Leeds,21/05/2022,Yes
C0407,Male,58,Leeds,21/02/2022,Yes
C0408,Female,39,Nottingham,13/04/2022,Yes
C0409,Male,18,Birmingham,29/11/2023,No
C0410,Female,48,Leeds,31/10/2023,No
C0411,Female,59,London,25/11/2022,Yes
C0412,Male,52,London,30/10/2023,Yes
C0413,Male,20,Sheffield,04/03/2023,No
C0414,Female,20,London,10/07/2022,No
C0415,Male,39,Liverpool,05/08/2023,No
C0416,Female,26,Nottingham,19/10/2023,No
C0417,Male,39,Birmingham,17/07/2022,No
C0418,Female,63,Birmingham,26/10/2023,Yes
C0419,Female,54,Leeds,12/12/2022,Yes
C0420,Female,45,Bristol,18/09/2023,Yes
C0421,Male,29,Birmingham,15/02/2023,No
C0422,Male,18,Liverpool,28/11/2022,No
C0423,Female,35,Bristol,30/08/2022,No
C0424,Male,34,Bristol,20/08/2023,Yes
C0425,Male,47,Liverpool,05/03/2022,Yes
C0426,Female,62,Manchester,20/02/2023,No
C0427,Male,32,Birmingham,12/01/2023,No
C0428,Female,65,Bristol,06/06/2022,No
C0429,Female,52,Leeds,17/07/2023,Yes
C0430,Male,51,Nottingham,28/11/2023,No
C0431,Male,21,Leeds,21/03/2022,Yes
C0432,Female,51,Nottingham,18/06/2022,Yes
C0433,Male,63,Nottingham,28/11/2023,Yes
C0434,Female,21,Nottingham,07/06/2023,Yes
C0435,Female,47,London,10/06/2023,No
C0436,Female,64,London,20/11/2023,No
C0437,Male,65,Leeds,18/09/2022,Yes
C0438,Female,40,Manchester,16/02/2022,Yes
C0439,Female,20,Liverpool,12/03/2022,No
C0440,Male,59,Sheffield,04/07/2022,No
C0441,Female,42,Sheffield,27/01/2023,Yes
C0442,Male,59,Bristol,01/12/2023,Yes
C0443,Female,51,Birmingham,02/07/2022,Yes
C0444,Male,37,Nottingham,04/01/2022,No
C0445,Female,32,Leeds,29/06/2023,No
C0446,Male,35,Leeds,21/12/2022,Yes
C0447,Female,57,London,02/02/2022,Yes
C0448,Male,24,London,31/07/2022,No
C0449,Male,33,London,05/09/2023,No
C0450,Male,52,Leeds,26/03/2023,Yes
C0451,Female,32,Bristol,24/05/2022,No
C0452,Female,27,Leeds,31/08/2022,No
C0453,Female,21,Birmingham,04/11/2022,No
C0454,Female,21,Bristol,24/07/2023,No
C0455,Female,62,Sheffield,22/06/2023,No
C0456,Female,42,Birmingham,02/06/2022,No
C0457,Male,37,Birmingham,04/09/2022,No
C0458,Female,44,Birmingham,01/03/2022,No
C0459,Female,31,Bristol,06/09/2022,Yes
C0460,Female,23,Leeds,06/04/2023,Yes
C0461,Female,61,London,02/10/2022,Yes
C0462,Male,48,Leeds,12/07/2022,No
C0463,Male,31,Leeds,07/11/2022,Yes
C0464,Male,62,Leeds,06/05/2023,No
C0465,Female,36,Sheffield,03/09/2022,No
C0466,Female,37,Liverpool,01/07/2023,No
C0467,Female,47,Manchester,10/06/2023,No
C0468,Male,41,Bristol,24/11/2022,No
C0469,Male,65,Birmingham,16/02/2022,Yes
C0470,Female,36,Birmingham,25/09/2022,Yes
C0471,Male,42,Leeds,04/12/2022,No
C0472,Female,34,Nottingham,18/07/2023,No
C0473,Male,64,Bristol,17/04/2023,Yes
C0474,Female,29,London,24/05/2022,Yes
C0475,Male,18,Sheffield,18/03/2022,Yes
C0476,Male,22,Birmingham,08/10/2023,Yes
C0477,Female,41,London,12/08/2022,No
C0478,Female,19,London,07/11/2023,No
C0479,Male,51,Liverpool,13/01/2022,No
C0480,Female,29,Manchester,18/01/2022,Yes
C0481,Male,33,Leeds,21/06/2023,No
C0482,Female,43,Manchester,29/12/2022,No
C0483,Female,54,Leeds,20/02/2023,Yes
C0484,Male,59,London,04/11/2022,Yes
C0485,Female,42,Nottingham,20/02/2023,Yes
C0486,Male,62,Birmingham,15/10/2023,Yes
C0487,Female,59,Bristol,27/05/2023,Yes
C0488,Male,32,Leeds,25/06/2023,No
C0489,Male,22,Liverpool,05/10/2022,Yes
C0490,Female,19,Leeds,03/07/2022,Yes
C0491,Male,37,Birmingham,12/02/2023,Yes
C0492,Female,61,Bristol,04/08/2023,No
C0493,Male,50,Bristol,24/05/2022,Yes
C0494,Female,32,Manchester,11/04/2022,No
C0495,Female,38,London,12/09/2023,No
C0496,Female,32,Bristol,07/04/2023,No
C0497,Male,61,Sheffield,19/03/2023,Yes
C0498,Female,33,Manchester,26/09/2023,Yes
C0499,Male,42,Birmingham,02/10/2022,No
C0500,Female,24,Manchester,21/11/2022,Yes
C0501,Female,41,Liverpool,12/11/2022,Yes
C0502,Male,29,Sheffield,16/05/2022,No
C0503,Female,24,London,25/07/2023,Yes
C0504,Male,56,Bristol,29/12/2022,No
C0505,Female,44,Sheffield,13/01/2022,Yes
C0506,Male,54,Birmingham,27/07/2023,No
C0507,Male,35,Liverpool,23/06/2022,No
C0508,Male,22,Birmingham,20/05/2023,No
C0509,Female,37,Nottingham,10/10/2022,Yes
C0510,Female,33,Nottingham,05/01/2023,Yes
C0511,Male,26,Liverpool,14/04/2023,Yes
C0512,Female,57,Sheffield,10/02/2023,No
C0513,Female,45,Birmingham,27/03/2023,No
C0514,Male,48,Bristol,25/11/2022,Yes
C0515,Female,36,Nottingham,12/02/2023,Yes
C0516,Female,35,Sheffield,30/11/2022,No
C0517,Male,55,Birmingham,27/04/2022,Yes
C0518,Male,46,Liverpool,18/04/2023,Yes
C0519,Female,26,Liverpool,23/02/2023,Yes
C0520,Male,63,Sheffield,16/09/2022,No
C0521,Female,56,Nottingham,17/03/2022,No
C0522,Female,52,London,02/07/2023,No
C0523,Male,24,Leeds,04/07/2023,No
C0524,Male,54,Sheffield,20/06/2022,No
C0525,Male,18,Manchester,17/03/2023,No
C0526,Male,46,Bristol,16/08/2022,No
C0527,Male,40,London,20/04/2023,No
C0528,Female,44,Manchester,18/04/2022,Yes
C0529,Female,37,Bristol,26/05/2022,No
C0530,Female,40,Nottingham,31/07/2022,Yes
C0531,Female,38,Manchester,25/03/2023,No
C0532,Male,19,Bristol,15/02/2022,Yes
C0533,Male,65,Leeds,25/11/2023,Yes
C0534,Male,39,Sheffield,20/07/2023,No
C0535,Female,58,Birmingham,26/08/2022,Yes
C0536,Female,43,London,18/10/2023,Yes
C0537,Female,42,London,06/04/2023,Yes
C0538,Female,63,Manchester,30/07/2022,Yes
C0539,Male,41,Bristol,04/07/2023,Yes
C0540,Male,34,Nottingham,14/04/2023,No
C0541,Female,57,Sheffield,04/09/2023,Yes
C0542,Female,47,Birmingham,23/12/2022,No
C0543,Male,61,Birmingham,22/09/2023,No
C0544,Male,37,Manchester,01/05/2022,Yes
C0545,Male,50,Sheffield,18/01/2023,No
C0546,Male,54,Sheffield,03/09/2023,No
C0547,Female,58,Birmingham,10/07/2022,Yes
C0548,Female,26,Birmingham,17/05/2023,No
C0549,Male,40,London,07/04/2023,No
C0550,Male,42,Nottingham,20/05/2022,No
C0551,Female,63,Nottingham,19/05/2023,No
C0552,Male,54,London,21/06/2022,Yes
C0553,Male,35,Leeds,27/10/2022,No
C0554,Female,54,Nottingham,22/06/2022,Yes
C0555,Male,35,Bristol,10/08/2023,Yes
C0556,Male,45,Manchester,28/03/2023,Yes
C0557,Male,46,Liverpool,01/11/2022,No
C0558,Female,25,Leeds,31/03/2022,Yes
C0559,Female,63,Sheffield,26/08/2023,Yes
C0560,Male,31,Leeds,23/09/2023,Yes
C0561,Female,52,Liverpool,07/08/2023,Yes
C0562,Female,36,Liverpool,28/11/2022,Yes
C0563,Female,21,Liverpool,19/05/2022,Yes
C0564,Male,27,Bristol,16/05/2022,Yes
C0565,Female,49,Birmingham,24/11/2023,No
C0566,Female,42,Nottingham,05/10/2023,Yes
C0567,Male,43,Liverpool,11/10/2023,No
C0568,Female,38,London,11/04/2023,Yes
C0569,Female,22,Sheffield,15/04/2023,Yes
C0570,Male,49,Liverpool,16/03/2023,No
C0571,Female,53,Birmingham,18/10/2022,No
C0572,Male,20,Manchester,18/12/2022,No
C0573,Male,28,Nottingham,17/01/2022,No
C0574,Female,30,Birmingham,01/01/2022,No
C0575,Female,23,Bristol,12/06/2022,No
C0576,Female,60,Birmingham,26/03/2022,Yes
C0577,Female,64,Leeds,10/02/2023,No
C0578,Male,63,Manchester,03/11/2023,Yes
